ticker,basis,oos_r_squared,residual_volatility,n_factors
EEM,nonlinear,0.6516902197224123,0.11593681386814952,7
AGG,nonlinear,0.6978166782709895,0.034257754322644746,7
SHY,nonlinear,0.5406010462313535,0.013922577183569908,7
IEF,nonlinear,0.7762885507782571,0.03675660037150618,7
TLT,nonlinear,0.7828845968720393,0.07277939981461738,7
TIP,nonlinear,0.6866997706289375,0.034202647381431604,7
LQD,nonlinear,0.7524151266571728,0.04327241701558335,7
HYG,nonlinear,0.6136686691238051,0.047837517876749065,7
VNQ,nonlinear,0.874628313477486,0.06787252961072528,7
GLD,nonlinear,0.7426902585992288,0.0966615335957034,7
DBC,nonlinear,0.8956286139908456,0.05995192145562325,7
UUP,nonlinear,0.8188448585108177,0.031499510026000904,7
ACWI,linear,0.8920457034084497,0.05259086788085896,8
SPY,linear,0.8296470363771085,0.07049847480180908,8
DIA,linear,0.7744288934848897,0.07023356948752736,8
QQQ,linear,0.7395871422752801,0.11609570038602217,8
IWM,linear,0.7142270343422154,0.11934899116955507,8
EFA,linear,0.7990906176442433,0.0738540507072031,8
EEM,linear,0.6651633002603661,0.11341168575486182,8
AGG,linear,0.7395897769376276,0.03179335932699553,8
SHY,linear,0.5367946358510387,0.013918762966849784,8
IEF,linear,0.7775682341315218,0.03665540039977068,8
TLT,linear,0.7765859355930214,0.07382251350248133,8
TIP,linear,0.6817331725511377,0.03450635291440901,8
LQD,linear,0.8160626250451926,0.03730177770326315,8
HYG,linear,0.7416149549047719,0.03897517690416424,8
VNQ,linear,0.8942608777358378,0.06227996822411584,8
GLD,linear,0.8288471605127583,0.07837770500517734,8
DBC,linear,0.891240767150775,0.06095240592138945,8
UUP,linear,0.8333542212501086,0.03005243452815327,8
ACWI,gamma,0.8771137084576066,0.05645716032144342,8
SPY,gamma,0.8121878515375829,0.07426985406428581,8
DIA,gamma,0.7572046661938256,0.0730370113890307,8
QQQ,gamma,0.7326634925715382,0.11781726654463139,8
IWM,gamma,0.7072061633502217,0.1208780633750532,8
EFA,gamma,0.7897315695116727,0.07583367972334339,8
EEM,gamma,0.6632441912198501,0.11375916815313836,8
AGG,gamma,0.6999970975624907,0.03409144876622892,8
SHY,gamma,0.5446499086139077,0.013789179457281362,8
IEF,gamma,0.7754764148196117,0.03682652392592283,8
TLT,gamma,0.7755667445518055,0.07403922118895001,8
TIP,gamma,0.6774761092862726,0.03473821418383381,8
LQD,gamma,0.7879358947078332,0.04005144596691491,8
HYG,gamma,0.7317263593308457,0.039685647620048906,8
VNQ,gamma,0.900516784225247,0.060469718681375066,8
GLD,gamma,0.8475224877964858,0.07379902608843618,8
DBC,gamma,0.9053836575364285,0.0565344792221865,8
UUP,gamma,0.8568197387607419,0.027708102693224417,8
ACWI,nonlinear,0.8715133543248361,0.058187086837525395,8
SPY,nonlinear,0.8083299370437966,0.07540333184013955,8
DIA,nonlinear,0.7495459487871122,0.07435500951978471,8
QQQ,nonlinear,0.7322248472150594,0.11832109630334758,8
IWM,nonlinear,0.7036025804352588,0.12174978089623593,8
EFA,nonlinear,0.7801242544564402,0.07778200600164764,8
EEM,nonlinear,0.662909539113933,0.11409111967011598,8
AGG,nonlinear,0.6931637266624675,0.03452436883032232,8
SHY,nonlinear,0.5496844959174016,0.013772155339111969,8
IEF,nonlinear,0.7761792949419289,0.03676956385127685,8
TLT,nonlinear,0.7788218051910434,0.07351468302578557,8
TIP,nonlinear,0.6779814730960043,0.034698512628475425,8
LQD,nonlinear,0.7766846320934979,0.0411003560247986,8
HYG,nonlinear,0.7259832368146619,0.04029018584679374,8
VNQ,nonlinear,0.8951822171809505,0.06206173945352953,8
GLD,nonlinear,0.8559944106988857,0.07217744257702612,8
DBC,nonlinear,0.9078625339065733,0.056335584358647266,8
UUP,nonlinear,0.8610012992702509,0.027586127272629307,8
